"id";"sido";"gugun";"gubun";"Type";"year_code"
86;"서울특별시";"관악구";2;"신호";16
87;"서울특별시";"구로구";2;"신호";16
88;"서울특별시";"도봉구";1;"과속";16
89;"서울특별시";"동대문구";2;"신호";16
90;"서울특별시";"동작구";2;"신호";16
91;"서울특별시";"마포구";2;"신호";16
92;"서울특별시";"마포구";1;"과속";16
93;"서울특별시";"서대문구";1;"과속";16
94;"서울특별시";"서초구";2;"신호";16
95;"서울특별시";"성동구";2;"신호";16
96;"서울특별시";"성북구";2;"신호";16
97;"서울특별시";"성북구";2;"신호";16
98;"서울특별시";"양천구";2;"신호";16
99;"서울특별시";"영등포구";2;"신호";16
100;"서울특별시";"광진구";2;"신호";21
101;"서울특별시";"광진구";2;"신호";21
102;"서울특별시";"광진구";2;"신호";21
103;"서울특별시";"광진구";2;"신호";21
104;"서울특별시";"광진구";2;"신호";21
105;"서울특별시";"광진구";2;"신호";21
106;"서울특별시";"광진구";2;"신호";21
107;"서울특별시";"광진구";2;"신호";21
108;"서울특별시";"금천구";2;"신호";21
109;"서울특별시";"금천구";2;"신호";21
110;"서울특별시";"금천구";1;"과속";21
111;"서울특별시";"금천구";2;"신호";21
112;"서울특별시";"금천구";2;"신호";21
113;"서울특별시";"금천구";2;"신호";21
114;"서울특별시";"금천구";1;"과속";21
115;"서울특별시";"금천구";2;"신호";21
